created_at,Text,Tweet_ID
2019-06-01 19:35:36,"اللهم لك الحمد حتى ترضى 
    ولك الحمد بعد الرضا......❤️

#ليفربول_توتنهام https://t.co/YddDXBIty5",1134906360938815488
2019-06-01 19:35:37,#UCLFinal #ليلة_الأبطال #ليفربول_توتنهام  😍😍😍,1134906364940210182
2019-06-01 19:35:37,"#ليفربول_توتنهام
#UCLFinal 
عطونا لقطة المشجعه يمكن انها متسلله https://t.co/uA6FiWzXpi",1134906365498068993
2019-06-01 19:35:38,"مباراة ممله .. صحيح نهائي والفريقين متحفضين

لكن توقيت المباراة سيئ نهاية الموسم ، الدوريات منتهيه من اسبوعين ، 

ك… https://t.co/bq9mc4SGMW",1134906369033822209
2019-06-01 19:35:38,#اعتراف_تركي_بسرقة_الحجر_الاسود #مسابقه_دايره_التكامل #العيد_يكتمل_بفرحتهم #هايبر_لوب #عيدكم_اجمل_بشماغ_المراسيم… https://t.co/nkFS28B7ys,1134906367008022529
2019-06-01 19:35:39,"المخرج حاسد 😒

 #ليفربول_توتنهام",1134906371521097731
2019-06-01 19:35:39,"نرحب بتواجدكم معنا ومشاركتنا الحدث في مبنى المستشفى السعودي الألماني بالرياض ،الأجواء الحماسية كأنك بالملعب ,بالاضا… https://t.co/8nDgW4WuWj",1134906371743330305
2019-06-01 19:35:38,اذا تابعت المباراه لحالي                  مع ابوي #ليفربول_توتنهام https://t.co/vFuGuWW8JU,1134906369793056768
2019-06-01 19:35:39,"بإذن الله  فخر العرب محمد صلاح هاتريك ونسسسسسمع صياحكم يالهيترز 😍🔥
#ليفربول_توتنهام 
#نهائي_دوري_أبطال_أوروبا https://t.co/gdG3iuYfzK",1134906373878288384
2019-06-01 19:35:40,@Abdulaz05839868,1134906376575225857
2019-06-01 19:35:40,"#ليفربول_توتنهام
 *دخول مشجعة إلى ارضية الملعب !*

اللهم اني صايم 😏 https://t.co/QdD412jR5M",1134906376734613505
2019-06-01 19:35:40,#ليفربول_توتنهام https://t.co/NeYpSz65Cc,1134906377627930629
2019-06-01 19:35:41,"الله يفرحكم اليله فرحونا معكم ولو 
برتويت عسا نحصل فاعل خير يتكفل 
لعيالي بملابس كسوة العيد اخوكم 
مصاب بالإعاقة ال… https://t.co/ZPLU6Tz1Z7",1134906382266896384
2019-06-01 19:35:43,#ليفربول_توتنهام لا ادري لماذا ميولي اتجهت لتشجيع توتنهام 🤔,1134906387744591874
2019-06-01 19:35:42,"#ليفربول_توتنهام

يالهوي هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه https://t.co/y360pxd5nI",1134906385035124737
2019-06-01 19:35:42,"قولي يبني لو عايز تتعالج نعالجوك 
#UCLFinal #ليفربول_توتنهام 
@MoSalah https://t.co/5f0sMRRO7N",1134906387463573505
2019-06-01 19:35:43,"#ليفربول_توتنهام
شكلي يوم دخلت المشجعة للملعب
ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه https://t.co/SkVH4EPUMU",1134906387853651968
2019-06-01 19:35:43,"#ليفربول_توتنهام
 #UCLfinal

اانا قاعد احاول اركز ب اللي شفته. https://t.co/KMXgj5xDox",1134906388633804800
2019-06-01 19:35:43,كم تدفع ؟ #ليفربول_توتنهام https://t.co/K5xWn6GJNu,1134906390147981317
2019-06-01 19:35:44,من #صعدة العربية الابية من بين الحديد والنار ... الزملاء المصريين الذين يرافقوني  يتابعون @MoSalah في… https://t.co/dE0VvPZBqm,1134906392203190273
2019-06-01 19:35:44,#ليفربول_توتنهام https://t.co/orVNiaPeNM,1134906392786153475
2019-06-01 19:35:46,"#ليفربول_توتنهام
الكوري مضيع مجهود #توتنهام",1134906403607502849
2019-06-01 19:35:47,هو المخرج بتاع المتش من الأزهر ولا ايه 😂😂😂😂 #ليفربول_توتنهام,1134906406732259329
2019-06-01 19:35:47,"الحمدلله ماكان احد عندي الا امي والتفت وهي نايمه ماركزت ربي ستر😭😂
#ليفربول_توتنهام",1134906407545909251
2019-06-01 19:35:47,"#ليفربول_توتنهام
حصريات ولحد يقول شل العلامه والعياذ بالله هههههههههههههههههههههههههههههههههههههههههههه https://t.co/pNJUUtFAtI",1134906406635806721
2019-06-01 19:35:47,#ليفربول_توتنهام هدف صلاح واتوقع بيسجل هاتريك https://t.co/muI4HuhfoH,1134906408112181249
2019-06-01 19:35:48,#ليفربول_توتنهام ي الهي ماذا جرى ياللهول ماذا ارى؟!؟!!!,1134906411719299072
2019-06-01 19:35:49,"يا اخوان لا تشغلكم المباراة عن صلاة التروايح والتهجد قراءة القران نهاية رمضان مراح ينفعك الا عملك الصالح وشكرا 

 #ليفربول_توتنهام",1134906413589979136
2019-06-01 19:35:50,"اصبح محمد صلاح اول لاعب عربى يسجل فى نهائى دورى الابطال 

 #ليفربول_توتنهام",1134906418522394631
2019-06-01 19:35:51,#ليفربول_توتنهام المشجعه https://t.co/i5467H9qzd,1134906422901301250
2019-06-01 19:35:51,"انا وأهلي اول ما دخلت البنت الملعب 
#ليفربول_توتنهام https://t.co/4BkpBR5Urt",1134906422519422976
2019-06-01 19:35:52,💙💙💙💙💙 #ليفربول_توتنهام https://t.co/y3yAKwPbWg,1134906427913490432
2019-06-01 19:35:54,#ليفربول_توتنهام الله ياصلاح يافخر العرب غض البصر 😂😂😂😂 https://t.co/fFR8jgdUbV,1134906434766987264
2019-06-01 19:35:55,"عالمطبخ الله يقلعك 😡

 #ليفربول_توتنهام https://t.co/M1qZFfZ6MI",1134906438176923648
